house_area_sqft,lot_area_sqft,bedrooms,bathrooms,year_built,overall_quality,garage_capacity,basement_area_sqft,distance_to_city_center_km,neighborhood,renovation_status,sale_price
760.0,3075.0,1.0,1.0,2008.0,7.0,0.0,463.0,1.4,Arada,Partially renovated,487426.0
1144.0,3613.0,4.0,3.0,1999.0,10.0,1.0,0.0,5.2,Nifas Silk,Partially renovated,797402.0
1417.0,4412.0,3.0,2.5,2009.0,6.0,1.0,0.0,1.7,Bole,Not renovated,848732.0
1228.0,3308.0,4.0,2.5,1968.0,5.0,2.0,746.0,7.5,Yeka,Not renovated,609884.0
2479.0,9158.0,5.0,3.5,1992.0,5.0,2.0,1610.0,8.8,Bole,Not renovated,1214670.0
1465.0,3389.0,4.0,2.5,1994.0,7.0,3.0,884.0,2.3,Nifas Silk,Not renovated,859179.0
2402.0,3664.0,6.0,4.5,2007.0,8.0,2.0,0.0,2.0,Nifas Silk,Not renovated,1054387.0
1583.0,6361.0,3.0,2.5,1982.0,6.0,2.0,459.0,3.0,Lideta,Not renovated,781578.0
1570.0,5683.0,5.0,4.0,1945.0,5.0,3.0,0.0,4.2,Arada,Partially renovated,822929.0
1504.0,3421.0,3.0,2.5,1973.0,5.0,2.0,0.0,2.7,Yeka,Not renovated,773352.0
1552.0,3547.0,4.0,2.5,1994.0,7.0,3.0,912.0,7.9,Bole,Fully renovated,1135748.0
2781.0,12347.0,6.0,4.0,1996.0,7.0,1.0,891.0,9.4,Yeka,Partially renovated,1552575.0
704.0,3085.0,2.0,1.5,2024.0,7.0,1.0,357.0,5.0,Nifas Silk,Not renovated,502841.0
785.0,3032.0,1.0,1.0,2007.0,5.0,0.0,301.0,2.8,,Partially renovated,444257.0
1289.0,2998.0,4.0,3.0,1997.0,7.0,0.0,412.0,4.1,Bole,Not renovated,1105361.0
1558.0,3346.0,4.0,4.0,1994.0,6.0,2.0,608.0,5.0,Nifas Silk,Fully renovated,833308.0
1960.0,3646.0,5.0,4.5,2017.0,7.0,1.0,1184.0,3.9,Kirkos,Fully renovated,1120578.0
1820.0,7070.0,5.0,3.5,1983.0,8.0,2.0,1201.0,4.4,Kirkos,Fully renovated,1306804.0
1360.0,1348.0,4.0,3.5,1992.0,7.0,2.0,1080.0,8.9,Arada,Partially renovated,823081.0
2192.0,3054.0,6.0,5.0,1973.0,7.0,0.0,686.0,2.7,Yeka,Fully renovated,1362393.0
2200.0,8168.0,4.0,2.5,2023.0,6.0,2.0,1617.0,14.7,Lideta,Partially renovated,959637.0
1650.0,7557.0,3.0,3.0,2003.0,7.0,2.0,1069.0,5.1,Bole,Fully renovated,1060954.0
2150.0,8533.0,4.0,3.0,1981.0,7.0,3.0,893.0,3.8,Arada,Not renovated,962379.0
1701.0,5055.0,4.0,2.5,1993.0,4.0,1.0,588.0,2.6,Kirkos,Fully renovated,1048812.0
1281.0,4049.0,3.0,2.5,2005.0,6.0,3.0,0.0,2.8,Yeka,Partially renovated,815043.0
1965.0,5495.0,4.0,3.5,1990.0,5.0,2.0,643.0,4.7,Nifas Silk,Not renovated,872413.0
1609.0,3589.0,4.0,3.0,1984.0,5.0,2.0,1320.0,5.1,Bole,Fully renovated,909228.0
1551.0,4586.0,3.0,2.5,1982.0,6.0,2.0,551.0,3.7,Nifas Silk,Partially renovated,656942.0
2558.0,7082.0,6.0,4.0,2002.0,9.0,2.0,1586.0,,Arada,Fully renovated,1783353.0
674.0,2190.0,1.0,1.5,1988.0,5.0,0.0,461.0,4.7,Nifas Silk,Not renovated,321178.0
957.0,3066.0,3.0,2.5,1986.0,8.0,0.0,0.0,2.8,Lideta,Partially renovated,639727.0
1035.0,4443.0,3.0,2.5,1968.0,4.0,3.0,0.0,1.1,Lideta,Partially renovated,580083.0
1370.0,2344.0,4.0,3.5,1997.0,6.0,3.0,0.0,7.0,Yeka,Not renovated,766056.0
1421.0,3587.0,4.0,2.5,1991.0,6.0,2.0,0.0,1.3,Nifas Silk,Partially renovated,671583.0
928.0,1734.0,2.0,1.5,1989.0,7.0,1.0,0.0,3.6,Nifas Silk,Partially renovated,404197.0
1109.0,3043.0,3.0,1.5,1999.0,7.0,2.0,471.0,4.3,Kirkos,Not renovated,795279.0
1157.0,2153.0,2.0,2.0,2010.0,7.0,2.0,0.0,10.2,Yeka,Partially renovated,830614.0
3574.0,6271.0,6.0,4.0,2009.0,6.0,2.0,2337.0,1.2,Bole,Not renovated,1795885.0
2860.0,10638.0,6.0,4.5,2006.0,5.0,0.0,0.0,7.5,Yeka,Fully renovated,1381406.0
1348.0,4377.0,2.0,2.0,1990.0,8.0,0.0,925.0,8.2,Arada,Fully renovated,787803.0
1370.0,6671.0,3.0,3.0,1984.0,6.0,2.0,438.0,12.1,Arada,Not renovated,818116.0
1049.0,2016.0,2.0,1.0,1974.0,4.0,3.0,0.0,9.2,Kirkos,Not renovated,441097.0
810.0,900.0,2.0,2.0,1983.0,4.0,0.0,242.0,4.4,Nifas Silk,Not renovated,387760.0
1490.0,3877.0,3.0,3.5,1995.0,5.0,3.0,996.0,7.7,Bole,Not renovated,853579.0
1104.0,1999.0,3.0,3.5,1979.0,7.0,2.0,776.0,10.5,Kirkos,Fully renovated,701288.0
1506.0,3479.0,4.0,3.5,1997.0,6.0,1.0,0.0,0.9,Yeka,Not renovated,1078094.0
900.0,4281.0,3.0,2.5,1976.0,7.0,0.0,610.0,1.7,Yeka,Not renovated,576130.0
1196.0,2038.0,3.0,2.0,1962.0,6.0,2.0,575.0,5.5,Arada,Not renovated,741055.0
1630.0,3381.0,3.0,3.0,2011.0,6.0,2.0,1137.0,8.1,Yeka,Partially renovated,1068959.0
1756.0,5829.0,4.0,,1986.0,7.0,0.0,0.0,6.8,Bole,Fully renovated,1182221.0
1786.0,5715.0,3.0,3.0,1978.0,6.0,1.0,0.0,5.8,Bole,Not renovated,788772.0
989.0,2782.0,3.0,2.0,1973.0,7.0,0.0,252.0,12.0,Yeka,Not renovated,491307.0
2073.0,5215.0,5.0,4.0,2003.0,5.0,2.0,1117.0,3.7,Yeka,Not renovated,1025795.0
1181.0,3339.0,4.0,3.5,2022.0,6.0,2.0,0.0,2.7,Kirkos,Not renovated,752799.0
1922.0,3289.0,4.0,3.5,1987.0,6.0,2.0,1325.0,3.2,Kirkos,Not renovated,898557.0
1544.0,3994.0,3.0,3.0,1991.0,4.0,0.0,922.0,5.5,Bole,Partially renovated,889683.0
971.0,2941.0,2.0,1.5,2016.0,7.0,1.0,0.0,4.3,Arada,Partially renovated,714389.0
1392.0,5787.0,3.0,2.0,1959.0,5.0,2.0,0.0,8.4,Kirkos,Not renovated,722875.0
1755.0,4495.0,4.0,4.0,2024.0,6.0,3.0,803.0,2.8,Yeka,Partially renovated,1108348.0
1909.0,4944.0,4.0,4.5,2024.0,7.0,2.0,,6.0,Kirkos,,1068519.0
1477.0,2561.0,4.0,3.5,1941.0,7.0,1.0,729.0,7.7,Lideta,Not renovated,684096.0
2609.0,4674.0,6.0,4.0,1993.0,7.0,2.0,1823.0,10.5,Lideta,Not renovated,1508647.0
2183.0,3869.0,6.0,4.0,1981.0,6.0,3.0,0.0,1.9,Bole,,1349512.0
1420.0,4571.0,4.0,3.5,1990.0,6.0,2.0,464.0,3.2,Arada,Not renovated,826461.0
2000.0,4672.0,5.0,4.5,1987.0,6.0,2.0,875.0,4.1,Lideta,Fully renovated,1052359.0
2991.0,10798.0,6.0,4.0,2011.0,4.0,3.0,786.0,1.5,Lideta,Fully renovated,1330776.0
3019.0,5140.0,6.0,4.5,1993.0,4.0,2.0,1211.0,5.8,Nifas Silk,Fully renovated,1244098.0
1021.0,4229.0,2.0,2.0,1977.0,4.0,3.0,542.0,5.7,Kirkos,Not renovated,536561.0
1131.0,4395.0,3.0,3.0,1992.0,5.0,0.0,819.0,5.4,Kirkos,Not renovated,634963.0
2568.0,3652.0,5.0,3.5,2005.0,7.0,2.0,1184.0,3.9,Kirkos,,1556077.0
1082.0,909.0,4.0,2.5,1971.0,5.0,3.0,0.0,9.8,Lideta,,498469.0
989.0,1312.0,3.0,3.0,1962.0,6.0,0.0,688.0,3.2,Bole,Not renovated,663797.0
1314.0,5322.0,3.0,3.0,2024.0,8.0,2.0,,9.2,Nifas Silk,Partially renovated,676610.0
1788.0,3568.0,4.0,3.0,1982.0,6.0,2.0,722.0,3.2,Kirkos,Not renovated,837693.0
1497.0,4987.0,4.0,3.5,1992.0,7.0,1.0,,1.9,Arada,Partially renovated,908164.0
1242.0,3276.0,3.0,2.0,1987.0,5.0,2.0,375.0,4.5,Nifas Silk,Fully renovated,632365.0
1232.0,4293.0,3.0,2.0,2006.0,6.0,2.0,610.0,5.0,Bole,Partially renovated,815211.0
1217.0,3440.0,3.0,3.0,2024.0,5.0,2.0,762.0,6.1,Yeka,Not renovated,743815.0
1149.0,3534.0,3.0,2.5,2007.0,6.0,2.0,301.0,0.7,Bole,Fully renovated,1026835.0
3367.0,15202.0,6.0,5.0,1965.0,8.0,2.0,0.0,3.6,Kirkos,Partially renovated,2001306.0
1715.0,4211.0,4.0,4.0,1967.0,4.0,1.0,722.0,14.1,Nifas Silk,Not renovated,665141.0
2095.0,8011.0,5.0,3.5,1987.0,7.0,2.0,812.0,3.0,Bole,Partially renovated,1280678.0
1313.0,2074.0,3.0,2.0,1990.0,7.0,2.0,939.0,8.2,Nifas Silk,Not renovated,500285.0
1455.0,4442.0,3.0,2.5,1961.0,5.0,2.0,0.0,18.0,Yeka,Not renovated,527977.0
1216.0,5039.0,4.0,3.0,2011.0,4.0,2.0,0.0,15.7,Kirkos,Partially renovated,575564.0
629.0,1938.0,1.0,1.5,1973.0,6.0,1.0,241.0,2.1,Bole,Not renovated,454218.0
970.0,2659.0,3.0,2.5,2024.0,5.0,1.0,0.0,7.8,Yeka,Not renovated,514710.0
837.0,1630.0,2.0,1.5,2024.0,7.0,1.0,308.0,8.1,Kirkos,Partially renovated,526914.0
721.0,1429.0,3.0,2.5,1990.0,6.0,1.0,482.0,7.0,Lideta,Not renovated,446112.0
1032.0,1787.0,2.0,2.0,2004.0,9.0,2.0,378.0,1.8,Kirkos,Partially renovated,677484.0
2432.0,6996.0,5.0,4.5,1970.0,6.0,2.0,750.0,5.4,Bole,Not renovated,1502972.0
1527.0,3843.0,3.0,2.5,2007.0,5.0,2.0,1022.0,5.3,Nifas Silk,Partially renovated,713060.0
2404.0,6175.0,6.0,5.0,1985.0,6.0,1.0,0.0,1.6,Lideta,Fully renovated,1319285.0
1782.0,4545.0,3.0,2.5,1973.0,7.0,1.0,,3.8,Kirkos,Not renovated,848389.0
2022.0,4027.0,4.0,3.0,1989.0,8.0,0.0,,5.5,Arada,Partially renovated,1135222.0
1141.0,2795.0,1.0,1.0,1986.0,7.0,1.0,0.0,4.4,Arada,Not renovated,599446.0
1852.0,2603.0,4.0,3.5,1988.0,7.0,1.0,1546.0,7.3,,Not renovated,877237.0
1986.0,7915.0,4.0,3.0,2014.0,8.0,2.0,1609.0,3.7,Nifas Silk,Not renovated,991022.0
1274.0,4386.0,2.0,2.5,1979.0,4.0,2.0,0.0,5.0,Lideta,Not renovated,671110.0
1875.0,3896.0,5.0,4.5,2024.0,5.0,2.0,0.0,8.6,Kirkos,Not renovated,768083.0
1879.0,6344.0,4.0,3.5,1968.0,5.0,2.0,1412.0,13.1,Yeka,Partially renovated,992006.0
1286.0,5715.0,4.0,3.5,2024.0,6.0,2.0,0.0,1.8,Bole,Partially renovated,1005140.0
1058.0,1543.0,2.0,2.0,1975.0,4.0,1.0,555.0,7.2,Arada,Fully renovated,442155.0
1036.0,1354.0,3.0,2.0,1995.0,7.0,1.0,717.0,3.3,Bole,Fully renovated,995043.0
1596.0,2711.0,4.0,3.0,1985.0,6.0,1.0,0.0,6.1,Nifas Silk,Not renovated,810885.0
1732.0,3597.0,3.0,2.5,1988.0,4.0,2.0,1357.0,1.7,Arada,Not renovated,617830.0
1184.0,4716.0,2.0,2.0,2011.0,5.0,2.0,0.0,9.9,Yeka,Not renovated,625810.0
1564.0,6957.0,4.0,3.5,2024.0,7.0,2.0,1239.0,2.6,Kirkos,Partially renovated,1131448.0
1882.0,1889.0,4.0,3.5,2019.0,7.0,2.0,1231.0,8.7,Nifas Silk,Fully renovated,1008092.0
1913.0,6127.0,4.0,3.0,1987.0,9.0,,1061.0,1.9,Arada,Not renovated,1639114.0
2627.0,4450.0,6.0,4.0,1999.0,10.0,2.0,1414.0,1.4,Arada,Not renovated,1676931.0
2393.0,,5.0,4.5,1979.0,7.0,2.0,2081.0,4.0,Arada,Not renovated,1269176.0
1103.0,3590.0,3.0,3.0,1975.0,5.0,2.0,936.0,5.4,Bole,Fully renovated,992206.0
2747.0,7025.0,6.0,4.5,1972.0,3.0,2.0,2122.0,16.5,Bole,Not renovated,1132323.0
1294.0,1977.0,4.0,3.0,1986.0,7.0,2.0,945.0,5.3,Lideta,Partially renovated,702434.0
2211.0,7692.0,5.0,4.0,2000.0,5.0,,1355.0,2.1,Yeka,Not renovated,1112067.0
1586.0,7163.0,4.0,3.0,1957.0,6.0,1.0,691.0,7.8,Yeka,Not renovated,912167.0
1347.0,3626.0,2.0,2.0,1994.0,5.0,2.0,0.0,11.0,Lideta,Not renovated,462076.0
838.0,1703.0,1.0,2.5,2024.0,6.0,1.0,222.0,2.5,Nifas Silk,Partially renovated,481121.0
1462.0,2615.0,4.0,3.5,2017.0,8.0,2.0,722.0,8.5,Bole,Partially renovated,1033942.0
912.0,3399.0,2.0,2.0,1983.0,6.0,1.0,0.0,10.1,Arada,Not renovated,474867.0
2154.0,6553.0,5.0,3.0,1967.0,6.0,2.0,1300.0,7.9,Kirkos,Not renovated,997558.0
2596.0,11444.0,6.0,4.5,2004.0,5.0,2.0,,2.9,Kirkos,Not renovated,1124351.0
1182.0,4616.0,2.0,2.5,1949.0,4.0,2.0,,5.4,Bole,Not renovated,715853.0
1718.0,7358.0,4.0,3.5,2017.0,5.0,2.0,498.0,6.1,Arada,Not renovated,822606.0
1211.0,4995.0,3.0,1.0,1991.0,6.0,2.0,483.0,9.7,Arada,Not renovated,765085.0
1252.0,3698.0,2.0,2.0,2024.0,9.0,1.0,529.0,3.0,Lideta,Partially renovated,830633.0
2017.0,6741.0,6.0,5.0,1960.0,6.0,2.0,0.0,8.6,Kirkos,Fully renovated,1228905.0
1530.0,2804.0,4.0,2.0,2013.0,8.0,2.0,0.0,4.3,Yeka,Partially renovated,1068356.0
2800.0,,6.0,5.0,1993.0,5.0,3.0,1126.0,3.6,Kirkos,Partially renovated,1521963.0
1316.0,5478.0,4.0,1.5,1988.0,4.0,2.0,659.0,4.9,Yeka,Fully renovated,838912.0
2177.0,7738.0,4.0,3.5,1968.0,5.0,3.0,963.0,0.5,Kirkos,Fully renovated,1263910.0
1602.0,6445.0,4.0,3.0,2007.0,5.0,3.0,712.0,0.7,Nifas Silk,Not renovated,864455.0
2032.0,5793.0,5.0,2.5,2009.0,9.0,2.0,1609.0,1.0,Arada,Not renovated,1450489.0
1331.0,3786.0,3.0,2.5,2024.0,5.0,3.0,463.0,6.3,Bole,Not renovated,798931.0
1524.0,4524.0,4.0,4.0,2015.0,7.0,3.0,603.0,3.9,Arada,Fully renovated,1133914.0
1490.0,2506.0,3.0,2.5,1983.0,5.0,1.0,1061.0,2.9,Lideta,,657095.0
1166.0,3495.0,3.0,3.0,1975.0,8.0,2.0,,4.6,Nifas Silk,Not renovated,653532.0
1941.0,6929.0,5.0,3.5,1968.0,7.0,1.0,0.0,8.7,,Partially renovated,1076315.0
1934.0,3225.0,5.0,3.0,2024.0,6.0,2.0,1594.0,4.4,Bole,Partially renovated,1063003.0
1897.0,8172.0,3.0,3.0,1979.0,6.0,1.0,962.0,2.0,Arada,Partially renovated,1008128.0
2614.0,4591.0,5.0,5.0,2024.0,5.0,2.0,,18.0,Bole,Partially renovated,1396113.0
2537.0,5764.0,6.0,5.0,2006.0,7.0,2.0,1226.0,4.7,Nifas Silk,Partially renovated,1161999.0
1364.0,4997.0,3.0,1.5,2002.0,5.0,2.0,631.0,10.2,Nifas Silk,Fully renovated,710006.0
1760.0,2862.0,2.0,1.0,1989.0,4.0,0.0,486.0,7.9,Yeka,Not renovated,688290.0
1254.0,5751.0,4.0,2.5,2008.0,4.0,2.0,0.0,3.5,Yeka,Fully renovated,807223.0
1562.0,5453.0,4.0,2.5,1995.0,6.0,2.0,576.0,12.9,Yeka,Partially renovated,913494.0
1264.0,2078.0,2.0,2.0,1988.0,9.0,2.0,0.0,3.1,Kirkos,Not renovated,847721.0
2689.0,8783.0,6.0,4.5,2009.0,6.0,,1606.0,6.2,Bole,Fully renovated,1767217.0
1754.0,6274.0,4.0,2.5,1992.0,6.0,1.0,,5.7,Nifas Silk,Fully renovated,946200.0
1439.0,6381.0,3.0,3.0,1979.0,7.0,2.0,823.0,6.1,Lideta,Fully renovated,866837.0
2326.0,9609.0,6.0,5.0,2007.0,8.0,3.0,0.0,11.6,Lideta,Fully renovated,1181469.0
741.0,3429.0,3.0,2.0,1994.0,7.0,1.0,0.0,4.8,Lideta,Not renovated,422089.0
782.0,2109.0,3.0,2.5,2005.0,6.0,0.0,170.0,5.5,Nifas Silk,Not renovated,257172.0
2032.0,5063.0,5.0,3.0,1986.0,8.0,0.0,1369.0,5.7,Nifas Silk,,976170.0
1582.0,5187.0,4.0,3.0,1971.0,7.0,2.0,833.0,16.1,Kirkos,Fully renovated,934526.0
1688.0,7261.0,4.0,3.0,2024.0,9.0,1.0,0.0,9.7,Lideta,Fully renovated,1109332.0
987.0,3586.0,1.0,1.0,2024.0,6.0,1.0,181.0,1.3,Arada,Fully renovated,734671.0
1538.0,5397.0,4.0,3.5,2013.0,4.0,2.0,0.0,3.2,Kirkos,Fully renovated,990076.0
3063.0,7819.0,6.0,4.5,1987.0,4.0,1.0,2544.0,5.1,Nifas Silk,Partially renovated,1016044.0
2051.0,7046.0,5.0,3.5,1989.0,9.0,2.0,600.0,11.5,Nifas Silk,Not renovated,955328.0
1642.0,6687.0,4.0,,2023.0,9.0,2.0,752.0,12.2,Arada,Not renovated,837347.0
1335.0,2835.0,3.0,3.0,1988.0,6.0,2.0,358.0,4.6,Bole,Not renovated,787137.0
1355.0,3833.0,3.0,2.5,1982.0,6.0,3.0,538.0,3.1,Arada,Partially renovated,946276.0
752.0,3009.0,1.0,1.5,2024.0,8.0,1.0,247.0,4.2,Nifas Silk,Not renovated,559826.0
1692.0,3990.0,4.0,3.0,1994.0,4.0,3.0,582.0,5.2,Kirkos,Fully renovated,978627.0
2066.0,7308.0,5.0,3.5,2024.0,5.0,2.0,1074.0,4.0,Nifas Silk,Partially renovated,942504.0
907.0,1919.0,2.0,2.0,1967.0,7.0,0.0,634.0,10.3,,Not renovated,358828.0
1238.0,2549.0,3.0,2.0,2005.0,6.0,1.0,482.0,3.7,Nifas Silk,Fully renovated,689315.0
1046.0,3225.0,3.0,2.5,2024.0,6.0,2.0,280.0,2.5,Yeka,Partially renovated,873175.0
1116.0,4158.0,3.0,2.5,1996.0,6.0,2.0,722.0,4.1,Bole,Partially renovated,859389.0
1578.0,5727.0,4.0,3.0,1990.0,7.0,3.0,949.0,5.9,Kirkos,Not renovated,778317.0
763.0,2128.0,2.0,1.5,1972.0,8.0,0.0,0.0,10.4,Bole,Not renovated,451157.0
1910.0,6812.0,5.0,3.5,2017.0,6.0,2.0,0.0,2.4,Kirkos,Not renovated,871644.0
2003.0,6663.0,4.0,2.5,1980.0,7.0,2.0,1122.0,5.9,Nifas Silk,Partially renovated,1019401.0
1423.0,4663.0,2.0,2.0,1993.0,3.0,2.0,1197.0,6.0,Lideta,Partially renovated,549635.0
667.0,2630.0,1.0,1.5,1970.0,6.0,0.0,210.0,6.8,Nifas Silk,Fully renovated,247898.0
1105.0,3654.0,3.0,3.0,2024.0,5.0,1.0,942.0,3.7,Bole,Fully renovated,941676.0
2357.0,3896.0,5.0,3.5,2018.0,4.0,1.0,1538.0,6.7,Yeka,Not renovated,1083361.0
603.0,1821.0,2.0,3.0,1994.0,5.0,1.0,0.0,7.8,Nifas Silk,Fully renovated,394673.0
1377.0,4699.0,3.0,2.5,1972.0,6.0,1.0,393.0,3.7,Yeka,Not renovated,939735.0
1038.0,4924.0,3.0,2.0,2024.0,8.0,2.0,574.0,5.5,Nifas Silk,Not renovated,666491.0
2038.0,7613.0,5.0,3.5,1988.0,4.0,0.0,552.0,4.3,Nifas Silk,Partially renovated,748884.0
1232.0,2667.0,3.0,1.5,1973.0,6.0,1.0,,2.8,Yeka,Fully renovated,851983.0
1778.0,6156.0,4.0,4.0,1960.0,5.0,3.0,0.0,1.7,Arada,,986382.0
1879.0,4128.0,5.0,4.5,1982.0,6.0,3.0,0.0,3.1,Bole,Fully renovated,1402547.0
2894.0,10720.0,6.0,5.0,1966.0,8.0,2.0,2355.0,3.2,Kirkos,Not renovated,1622934.0
1447.0,5631.0,3.0,2.0,1983.0,7.0,2.0,825.0,1.7,Lideta,Not renovated,796509.0
1761.0,5135.0,5.0,5.0,2010.0,8.0,2.0,0.0,6.4,Arada,Not renovated,892706.0
936.0,2568.0,3.0,2.5,1987.0,6.0,1.0,445.0,8.2,Yeka,Partially renovated,589060.0
2323.0,5626.0,6.0,4.5,2002.0,5.0,,1446.0,4.2,Yeka,Not renovated,1169904.0
1197.0,3486.0,3.0,3.5,1981.0,6.0,1.0,445.0,4.7,Nifas Silk,Not renovated,477868.0
1281.0,5954.0,3.0,3.0,1996.0,7.0,2.0,537.0,3.4,Bole,Not renovated,1114867.0
1538.0,5602.0,4.0,4.5,2024.0,6.0,3.0,877.0,4.5,Nifas Silk,Partially renovated,892784.0
911.0,3267.0,2.0,2.0,1988.0,5.0,0.0,0.0,,Bole,Partially renovated,549510.0
1675.0,4850.0,4.0,3.0,2003.0,6.0,3.0,0.0,5.9,Kirkos,Not renovated,763310.0
2154.0,3339.0,6.0,4.0,1964.0,7.0,2.0,558.0,4.5,Yeka,Not renovated,1126065.0
1712.0,3526.0,5.0,3.0,2024.0,10.0,2.0,,3.2,Kirkos,Partially renovated,1211133.0
903.0,1719.0,3.0,2.5,1985.0,9.0,0.0,433.0,7.7,Yeka,Partially renovated,648601.0
1486.0,4508.0,3.0,3.0,2016.0,5.0,2.0,0.0,3.5,Arada,Not renovated,770520.0
1995.0,8956.0,5.0,4.0,1993.0,6.0,2.0,,1.8,Arada,Not renovated,1026242.0
819.0,1854.0,2.0,2.0,2007.0,4.0,0.0,353.0,5.2,Bole,Fully renovated,533684.0
1076.0,2412.0,2.0,1.5,2008.0,5.0,2.0,639.0,1.1,Lideta,Partially renovated,624176.0
2088.0,4525.0,5.0,4.0,1986.0,7.0,1.0,894.0,5.8,Bole,Not renovated,1284207.0
1699.0,4126.0,3.0,3.0,2017.0,8.0,2.0,0.0,6.0,Kirkos,Partially renovated,1070513.0
1783.0,7245.0,5.0,4.0,1980.0,5.0,1.0,1084.0,3.1,Bole,Partially renovated,1220527.0
2917.0,7913.0,6.0,4.5,2011.0,5.0,2.0,2207.0,3.4,Lideta,Not renovated,1317181.0
1818.0,6401.0,4.0,2.5,1987.0,3.0,1.0,,8.5,Nifas Silk,Not renovated,729410.0
1939.0,7814.0,5.0,4.5,2002.0,6.0,1.0,615.0,15.2,Nifas Silk,Fully renovated,994358.0
3896.0,6269.0,6.0,3.0,1986.0,5.0,2.0,2600.0,4.9,Arada,Not renovated,1675215.0
1441.0,4452.0,3.0,2.5,1996.0,5.0,1.0,0.0,3.1,Bole,Not renovated,712833.0
1182.0,5709.0,2.0,3.0,1974.0,5.0,,654.0,6.1,Yeka,Partially renovated,791957.0
1793.0,4977.0,4.0,2.5,2000.0,6.0,2.0,530.0,4.4,,Not renovated,1138506.0
1800.0,2737.0,5.0,3.5,1996.0,3.0,2.0,644.0,5.8,Kirkos,Partially renovated,934209.0
1296.0,5752.0,1.0,1.0,1984.0,4.0,0.0,898.0,5.3,Kirkos,Not renovated,497866.0
1091.0,4492.0,2.0,1.5,1994.0,10.0,2.0,557.0,5.3,Nifas Silk,Not renovated,694309.0
3399.0,10348.0,6.0,5.0,1998.0,4.0,2.0,2173.0,0.8,Yeka,Not renovated,1534368.0
1732.0,,4.0,3.5,1983.0,4.0,2.0,0.0,3.4,Lideta,Fully renovated,990829.0
1208.0,2168.0,2.0,2.0,1992.0,9.0,1.0,489.0,3.1,Yeka,Partially renovated,743720.0
